Timestamp,Parking Spot,Occupied
2024-10-29 15:02:59.442302,Spot 10,Occupied
2024-10-29 15:02:59.442302,Spot 14,Occupied
2024-10-29 15:02:59.442302,Spot 16,Occupied
2024-10-29 15:02:59.442302,Spot 19,Occupied
2024-10-29 15:02:59.461617,Spot 5,Occupied
2024-10-29 15:02:59.474642,Spot 14,Occupied
2024-10-29 15:02:59.474642,Spot 16,Occupied
2024-10-29 15:02:59.474642,Spot 19,Occupied
2024-10-29 15:02:59.490962,Spot 5,Occupied
2024-10-29 15:02:59.490962,Spot 14,Occupied
2024-10-29 15:02:59.506580,Spot 16,Occupied
2024-10-29 15:02:59.523488,Spot 5,Occupied
2024-10-29 15:02:59.539115,Spot 12,Occupied
2024-10-29 15:02:59.539115,Spot 13,Occupied
2024-10-29 15:02:59.539115,Spot 14,Occupied
2024-10-29 15:02:59.539115,Spot 16,Occupied
2024-10-29 15:02:59.561917,Spot 5,Occupied
2024-10-29 15:02:59.561917,Spot 12,Occupied
2024-10-29 15:02:59.570933,Spot 13,Occupied
2024-10-29 15:02:59.570933,Spot 14,Occupied
2024-10-29 15:02:59.570933,Spot 15,Occupied
2024-10-29 15:02:59.570933,Spot 16,Occupied
2024-10-29 15:02:59.587111,Spot 5,Occupied
2024-10-29 15:02:59.602782,Spot 14,Occupied
2024-10-29 15:02:59.607642,Spot 5,Occupied
2024-10-29 15:02:59.623272,Spot 14,Occupied
2024-10-29 15:02:59.635024,Spot 5,Occupied
2024-10-29 15:02:59.665747,Spot 5,Occupied
2024-10-29 15:02:59.699473,Spot 5,Occupied
2024-10-29 15:02:59.731144,Spot 5,Occupied
2024-10-29 15:02:59.746771,Spot 11,Occupied
2024-10-29 15:02:59.762506,Spot 5,Occupied
2024-10-29 15:02:59.778147,Spot 9,Occupied
2024-10-29 15:02:59.778147,Spot 10,Occupied
2024-10-29 15:02:59.778147,Spot 11,Occupied
2024-10-29 15:02:59.826882,Spot 5,Occupied
2024-10-29 15:02:59.842501,Spot 9,Occupied
2024-10-29 15:02:59.842501,Spot 10,Occupied
2024-10-29 15:02:59.842501,Spot 11,Occupied
2024-10-29 15:02:59.842501,Spot 14,Occupied
2024-10-29 15:02:59.862368,Spot 5,Occupied
2024-10-29 15:02:59.862368,Spot 9,Occupied
2024-10-29 15:02:59.874877,Spot 10,Occupied
2024-10-29 15:02:59.874877,Spot 11,Occupied
2024-10-29 15:02:59.874877,Spot 14,Occupied
2024-10-29 15:02:59.890866,Spot 5,Occupied
2024-10-29 15:02:59.906502,Spot 9,Occupied
2024-10-29 15:02:59.906502,Spot 10,Occupied
2024-10-29 15:02:59.906502,Spot 11,Occupied
2024-10-29 15:02:59.906502,Spot 14,Occupied
2024-10-29 15:02:59.906502,Spot 16,Occupied
2024-10-29 15:02:59.929283,Spot 5,Occupied
2024-10-29 15:02:59.929283,Spot 9,Occupied
2024-10-29 15:02:59.929283,Spot 10,Occupied
2024-10-29 15:02:59.929283,Spot 11,Occupied
2024-10-29 15:02:59.929283,Spot 14,Occupied
2024-10-29 15:02:59.929283,Spot 16,Occupied
2024-10-29 15:02:59.955324,Spot 5,Occupied
2024-10-29 15:02:59.955324,Spot 9,Occupied
2024-10-29 15:02:59.955324,Spot 10,Occupied
2024-10-29 15:02:59.955324,Spot 11,Occupied
2024-10-29 15:02:59.955324,Spot 14,Occupied
2024-10-29 15:02:59.955324,Spot 16,Occupied
2024-10-29 15:02:59.955324,Spot 18,Occupied
2024-10-29 15:02:59.971119,Spot 5,Occupied
2024-10-29 15:02:59.971119,Spot 9,Occupied
2024-10-29 15:02:59.986746,Spot 10,Occupied
2024-10-29 15:02:59.986746,Spot 11,Occupied
2024-10-29 15:02:59.986746,Spot 14,Occupied
2024-10-29 15:02:59.986746,Spot 16,Occupied
2024-10-29 15:02:59.986746,Spot 18,Occupied
2024-10-29 15:03:00.018598,Spot 1,Occupied
2024-10-29 15:03:00.018598,Spot 9,Occupied
2024-10-29 15:03:00.018598,Spot 10,Occupied
2024-10-29 15:03:00.018598,Spot 11,Occupied
2024-10-29 15:03:00.018598,Spot 14,Occupied
2024-10-29 15:03:00.018598,Spot 16,Occupied
2024-10-29 15:03:00.018598,Spot 18,Occupied
2024-10-29 15:03:00.050423,Spot 1,Occupied
2024-10-29 15:03:00.050423,Spot 9,Occupied
2024-10-29 15:03:00.050423,Spot 10,Occupied
2024-10-29 15:03:00.050423,Spot 11,Occupied
2024-10-29 15:03:00.050423,Spot 14,Occupied
2024-10-29 15:03:00.050423,Spot 16,Occupied
2024-10-29 15:03:00.050423,Spot 18,Occupied
2024-10-29 15:03:00.050423,Spot 19,Occupied
2024-10-29 15:03:00.066821,Spot 1,Occupied
2024-10-29 15:03:00.082440,Spot 9,Occupied
2024-10-29 15:03:00.082440,Spot 10,Occupied
2024-10-29 15:03:00.082440,Spot 11,Occupied
2024-10-29 15:03:00.082440,Spot 14,Occupied
2024-10-29 15:03:00.082440,Spot 16,Occupied
2024-10-29 15:03:00.082440,Spot 18,Occupied
2024-10-29 15:03:00.082440,Spot 19,Occupied
2024-10-29 15:03:00.098956,Spot 1,Occupied
2024-10-29 15:03:00.114578,Spot 6,Occupied
2024-10-29 15:03:00.114578,Spot 9,Occupied
2024-10-29 15:03:00.114578,Spot 10,Occupied
2024-10-29 15:03:00.114578,Spot 11,Occupied
2024-10-29 15:03:00.114578,Spot 14,Occupied
2024-10-29 15:03:00.114578,Spot 16,Occupied
2024-10-29 15:03:00.114578,Spot 19,Occupied
2024-10-29 15:03:00.146497,Spot 1,Occupied
2024-10-29 15:03:00.146497,Spot 6,Occupied
2024-10-29 15:03:00.146497,Spot 9,Occupied
2024-10-29 15:03:00.146497,Spot 11,Occupied
2024-10-29 15:03:00.146497,Spot 14,Occupied
2024-10-29 15:03:00.146497,Spot 16,Occupied
2024-10-29 15:03:00.146497,Spot 19,Occupied
2024-10-29 15:03:00.162809,Spot 1,Occupied
2024-10-29 15:03:00.178442,Spot 6,Occupied
2024-10-29 15:03:00.178442,Spot 9,Occupied
2024-10-29 15:03:00.178442,Spot 11,Occupied
2024-10-29 15:03:00.178442,Spot 14,Occupied
2024-10-29 15:03:00.178442,Spot 16,Occupied
2024-10-29 15:03:00.178442,Spot 19,Occupied
2024-10-29 15:03:00.193738,Spot 1,Occupied
2024-10-29 15:03:00.209367,Spot 6,Occupied
2024-10-29 15:03:00.209367,Spot 9,Occupied
2024-10-29 15:03:00.209367,Spot 11,Occupied
2024-10-29 15:03:00.209367,Spot 16,Occupied
2024-10-29 15:03:00.209367,Spot 19,Occupied
2024-10-29 15:03:00.257690,Spot 1,Occupied
2024-10-29 15:03:00.257690,Spot 6,Occupied
2024-10-29 15:03:00.257690,Spot 9,Occupied
2024-10-29 15:03:00.257690,Spot 11,Occupied
2024-10-29 15:03:00.257690,Spot 16,Occupied
2024-10-29 15:03:00.257690,Spot 19,Occupied
2024-10-29 15:03:00.274706,Spot 1,Occupied
2024-10-29 15:03:00.290325,Spot 6,Occupied
2024-10-29 15:03:00.290325,Spot 9,Occupied
2024-10-29 15:03:00.290325,Spot 11,Occupied
2024-10-29 15:03:00.290325,Spot 16,Occupied
2024-10-29 15:03:00.290325,Spot 19,Occupied
2024-10-29 15:03:00.307094,Spot 1,Occupied
2024-10-29 15:03:00.307094,Spot 6,Occupied
2024-10-29 15:03:00.322718,Spot 11,Occupied
2024-10-29 15:03:00.322718,Spot 16,Occupied
2024-10-29 15:03:00.322718,Spot 19,Occupied
2024-10-29 15:03:00.338965,Spot 1,Occupied
2024-10-29 15:03:00.338965,Spot 6,Occupied
2024-10-29 15:03:00.354592,Spot 16,Occupied
2024-10-29 15:03:00.354592,Spot 19,Occupied
2024-10-29 15:03:00.370928,Spot 1,Occupied
2024-10-29 15:03:00.386567,Spot 6,Occupied
2024-10-29 15:03:00.386567,Spot 16,Occupied
2024-10-29 15:03:00.386567,Spot 19,Occupied
2024-10-29 15:03:00.418472,Spot 1,Occupied
2024-10-29 15:03:00.418472,Spot 6,Occupied
2024-10-29 15:03:00.418472,Spot 16,Occupied
2024-10-29 15:03:00.418472,Spot 19,Occupied
2024-10-29 15:03:00.434908,Spot 1,Occupied
2024-10-29 15:03:00.450530,Spot 6,Occupied
2024-10-29 15:03:00.450530,Spot 16,Occupied
2024-10-29 15:03:00.450530,Spot 19,Occupied
2024-10-29 15:03:00.466906,Spot 1,Occupied
2024-10-29 15:03:00.482572,Spot 6,Occupied
2024-10-29 15:03:00.482572,Spot 16,Occupied
2024-10-29 15:03:00.482572,Spot 19,Occupied
2024-10-29 15:03:00.498877,Spot 1,Occupied
2024-10-29 15:03:00.514504,Spot 6,Occupied
2024-10-29 15:03:00.514504,Spot 16,Occupied
2024-10-29 15:03:00.514504,Spot 19,Occupied
2024-10-29 15:03:00.546998,Spot 1,Occupied
2024-10-29 15:03:00.546998,Spot 6,Occupied
2024-10-29 15:03:00.562507,Spot 16,Occupied
2024-10-29 15:03:00.562507,Spot 19,Occupied
2024-10-29 15:03:00.579079,Spot 1,Occupied
2024-10-29 15:03:00.579079,Spot 6,Occupied
2024-10-29 15:03:00.594754,Spot 16,Occupied
